Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Lineage	Annotation BUSCO Missing	Annotation BUSCO Single Copy	Annotation BUSCO Total Count	Annotation BUSCO Version	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed	Assembly BioSample Collected by	Assembly BioSample Collection date	Assembly BioSample Cultivar	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage	Assembly BioSample Ecotype	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Identified by	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category	Assembly BioSample Isolate	Assembly BioSample Isolate name alias	Assembly BioSample Isolation source	Assembly BioSample Last updated	Assembly BioSample Latitude and Longitude	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name	Assembly BioSample Publication date	Assembly BioSample Sample name	Assembly BioSample Serotype	Assembly BioSample Serovar	Assembly BioSample Sex	Assembly BioSample Source type	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Submission date	Assembly BioSample Tissue	Assembly Blast URL	Assembly Description	Assembly Diploid Role	Assembly Grouping Method	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly LongName	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Differences	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly RefSeq GenBank Are Different	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats ATGC Count	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_002944845.1	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae	87.77	derived_species_match	category_na	OK	na	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae subsp. pneumoniae	87.77	Klebsiella pneumoniae	Klebsiella pneumoniae									121		5484	169	5774	Best-placed reference protein set; GeneMarkS-2+	GCF_002944845.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP3 v. smrt v2.3 HGAP3			PRJNA432625	PRJNA432625			Klebsiella pneumoniae strain:NUHL30457 Genome sequencing	SAMN08455837		strain	NUHL30457								2016-10-24										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	NUHL30457					2021-02-28T05:29:12.411		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University	Microbe.1.0		2018-02-02T00:00:00.000						live	2018-02-02T00:26:03.330	NUHL30457		2018-02-02T00:26:03.330						Complete Genome				ASM294484v1		GCA_002944845.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2018-02-12	PacBio	current	First Affiliated Hospital of Nanchang University, Nanchang University			haploid	5782903	1	5302595		3298884	57	151	5	5		5	1	5302595	5	5782903	5782903	98.73	57.0308	0.63	Klebsiella pneumoniae	species	573	v1.2.3	GCF_002944845.1													NUHL30457	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_002944845.1	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae	87.77	derived_species_match	category_na	OK	na	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae subsp. pneumoniae	87.77	Klebsiella pneumoniae	Klebsiella pneumoniae									121		5484	169	5774	Best-placed reference protein set; GeneMarkS-2+	GCF_002944845.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP3 v. smrt v2.3 HGAP3			PRJNA432625	PRJNA432625			Klebsiella pneumoniae strain:NUHL30457 Genome sequencing	SAMN08455837		host	Homo sapiens								2016-10-24										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	NUHL30457					2021-02-28T05:29:12.411		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University	Microbe.1.0		2018-02-02T00:00:00.000						live	2018-02-02T00:26:03.330	NUHL30457		2018-02-02T00:26:03.330						Complete Genome				ASM294484v1		GCA_002944845.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2018-02-12	PacBio	current	First Affiliated Hospital of Nanchang University, Nanchang University			haploid	5782903	1	5302595		3298884	57	151	5	5		5	1	5302595	5	5782903	5782903	98.73	57.0308	0.63	Klebsiella pneumoniae	species	573	v1.2.3	GCF_002944845.1													NUHL30457	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_002944845.1	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae	87.77	derived_species_match	category_na	OK	na	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae subsp. pneumoniae	87.77	Klebsiella pneumoniae	Klebsiella pneumoniae									121		5484	169	5774	Best-placed reference protein set; GeneMarkS-2+	GCF_002944845.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP3 v. smrt v2.3 HGAP3			PRJNA432625	PRJNA432625			Klebsiella pneumoniae strain:NUHL30457 Genome sequencing	SAMN08455837		collection_date	2016-10-24								2016-10-24										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	NUHL30457					2021-02-28T05:29:12.411		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University	Microbe.1.0		2018-02-02T00:00:00.000						live	2018-02-02T00:26:03.330	NUHL30457		2018-02-02T00:26:03.330						Complete Genome				ASM294484v1		GCA_002944845.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2018-02-12	PacBio	current	First Affiliated Hospital of Nanchang University, Nanchang University			haploid	5782903	1	5302595		3298884	57	151	5	5		5	1	5302595	5	5782903	5782903	98.73	57.0308	0.63	Klebsiella pneumoniae	species	573	v1.2.3	GCF_002944845.1													NUHL30457	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_002944845.1	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae	87.77	derived_species_match	category_na	OK	na	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae subsp. pneumoniae	87.77	Klebsiella pneumoniae	Klebsiella pneumoniae									121		5484	169	5774	Best-placed reference protein set; GeneMarkS-2+	GCF_002944845.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP3 v. smrt v2.3 HGAP3			PRJNA432625	PRJNA432625			Klebsiella pneumoniae strain:NUHL30457 Genome sequencing	SAMN08455837		geo_loc_name	China:Nanchang								2016-10-24										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	NUHL30457					2021-02-28T05:29:12.411		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University	Microbe.1.0		2018-02-02T00:00:00.000						live	2018-02-02T00:26:03.330	NUHL30457		2018-02-02T00:26:03.330						Complete Genome				ASM294484v1		GCA_002944845.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2018-02-12	PacBio	current	First Affiliated Hospital of Nanchang University, Nanchang University			haploid	5782903	1	5302595		3298884	57	151	5	5		5	1	5302595	5	5782903	5782903	98.73	57.0308	0.63	Klebsiella pneumoniae	species	573	v1.2.3	GCF_002944845.1													NUHL30457	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_002944845.1	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae	87.77	derived_species_match	category_na	OK	na	99.13	GCA_000788015.1	86.91	type	Klebsiella pneumoniae subsp. pneumoniae	87.77	Klebsiella pneumoniae	Klebsiella pneumoniae									121		5484	169	5774	Best-placed reference protein set; GeneMarkS-2+	GCF_002944845.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP3 v. smrt v2.3 HGAP3			PRJNA432625	PRJNA432625			Klebsiella pneumoniae strain:NUHL30457 Genome sequencing	SAMN08455837		sample_type	tissue sample								2016-10-24										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	NUHL30457					2021-02-28T05:29:12.411		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University	Microbe.1.0		2018-02-02T00:00:00.000						live	2018-02-02T00:26:03.330	NUHL30457		2018-02-02T00:26:03.330						Complete Genome				ASM294484v1		GCA_002944845.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2018-02-12	PacBio	current	First Affiliated Hospital of Nanchang University, Nanchang University			haploid	5782903	1	5302595		3298884	57	151	5	5		5	1	5302595	5	5782903	5782903	98.73	57.0308	0.63	Klebsiella pneumoniae	species	573	v1.2.3	GCF_002944845.1													NUHL30457	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_004118955.1	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	species_match	category_na	OK	na	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5386	153	5662	Best-placed reference protein set; GeneMarkS-2+	GCF_004118955.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP v. HGAP3			PRJNA516531	PRJNA516531			Klebsiella pneumoniae strain:AP8555 Genome sequencing	SAMN10790857		isolate	AP8555								2017-07-04										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang					Sample name	AP8555		AP8555		blood	2021-02-28T06:50:12.143		Microbe, viral or environmental		Chinese Human genome center at Shanghai	Microbe.1.0		2019-01-23T00:00:00.000						live	2019-01-23T03:01:07.439			2019-01-23T03:01:07.436						Complete Genome				ASM411895v1		GCA_004118955.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2019-01-30	PacBio RSII	current	Chinese Human genome center at Shanghai			haploid	5821768	1	5463931		3321510	57	357	2	2		2	1	5463931	2	5821768	5821768	98.53	41.2204	0.72	Klebsiella pneumoniae	species	573	v1.2.3	GCF_004118955.1													AP8555	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_004118955.1	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	species_match	category_na	OK	na	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5386	153	5662	Best-placed reference protein set; GeneMarkS-2+	GCF_004118955.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP v. HGAP3			PRJNA516531	PRJNA516531			Klebsiella pneumoniae strain:AP8555 Genome sequencing	SAMN10790857		isolation_source	blood								2017-07-04										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang					Sample name	AP8555		AP8555		blood	2021-02-28T06:50:12.143		Microbe, viral or environmental		Chinese Human genome center at Shanghai	Microbe.1.0		2019-01-23T00:00:00.000						live	2019-01-23T03:01:07.439			2019-01-23T03:01:07.436						Complete Genome				ASM411895v1		GCA_004118955.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2019-01-30	PacBio RSII	current	Chinese Human genome center at Shanghai			haploid	5821768	1	5463931		3321510	57	357	2	2		2	1	5463931	2	5821768	5821768	98.53	41.2204	0.72	Klebsiella pneumoniae	species	573	v1.2.3	GCF_004118955.1													AP8555	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_004118955.1	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	species_match	category_na	OK	na	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5386	153	5662	Best-placed reference protein set; GeneMarkS-2+	GCF_004118955.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP v. HGAP3			PRJNA516531	PRJNA516531			Klebsiella pneumoniae strain:AP8555 Genome sequencing	SAMN10790857		collection_date	2017-07-04								2017-07-04										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang					Sample name	AP8555		AP8555		blood	2021-02-28T06:50:12.143		Microbe, viral or environmental		Chinese Human genome center at Shanghai	Microbe.1.0		2019-01-23T00:00:00.000						live	2019-01-23T03:01:07.439			2019-01-23T03:01:07.436						Complete Genome				ASM411895v1		GCA_004118955.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2019-01-30	PacBio RSII	current	Chinese Human genome center at Shanghai			haploid	5821768	1	5463931		3321510	57	357	2	2		2	1	5463931	2	5821768	5821768	98.53	41.2204	0.72	Klebsiella pneumoniae	species	573	v1.2.3	GCF_004118955.1													AP8555	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_004118955.1	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	species_match	category_na	OK	na	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5386	153	5662	Best-placed reference protein set; GeneMarkS-2+	GCF_004118955.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP v. HGAP3			PRJNA516531	PRJNA516531			Klebsiella pneumoniae strain:AP8555 Genome sequencing	SAMN10790857		geo_loc_name	China:Nanchang								2017-07-04										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang					Sample name	AP8555		AP8555		blood	2021-02-28T06:50:12.143		Microbe, viral or environmental		Chinese Human genome center at Shanghai	Microbe.1.0		2019-01-23T00:00:00.000						live	2019-01-23T03:01:07.439			2019-01-23T03:01:07.436						Complete Genome				ASM411895v1		GCA_004118955.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2019-01-30	PacBio RSII	current	Chinese Human genome center at Shanghai			haploid	5821768	1	5463931		3321510	57	357	2	2		2	1	5463931	2	5821768	5821768	98.53	41.2204	0.72	Klebsiella pneumoniae	species	573	v1.2.3	GCF_004118955.1													AP8555	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_004118955.1	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	species_match	category_na	OK	na	99.15	GCA_006364295.1	86.37	type	Klebsiella pneumoniae	90.21	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5386	153	5662	Best-placed reference protein set; GeneMarkS-2+	GCF_004118955.1-RS_2025_01_05	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-01-05		6.9		HGAP v. HGAP3			PRJNA516531	PRJNA516531			Klebsiella pneumoniae strain:AP8555 Genome sequencing	SAMN10790857		sample_type	cell culture								2017-07-04										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang					Sample name	AP8555		AP8555		blood	2021-02-28T06:50:12.143		Microbe, viral or environmental		Chinese Human genome center at Shanghai	Microbe.1.0		2019-01-23T00:00:00.000						live	2019-01-23T03:01:07.439			2019-01-23T03:01:07.436						Complete Genome				ASM411895v1		GCA_004118955.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2019-01-30	PacBio RSII	current	Chinese Human genome center at Shanghai			haploid	5821768	1	5463931		3321510	57	357	2	2		2	1	5463931	2	5821768	5821768	98.53	41.2204	0.72	Klebsiella pneumoniae	species	573	v1.2.3	GCF_004118955.1													AP8555	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
