Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_000364385.3	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ATCC BAA-2146	Complete Genome	5781501	5	5	57	98.93	1.35	PacBio; Illumina	SAMN02152539	hospital patients	Homo sapiens	urinary tract infection	USA	2010	PRJNA183901	Klebsiella pneumoniae ATCC BAA-2146 Genome sequencing	2016-01-04
GCF_000739495.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	carbapenem-resistant blaNDM-1	Complete Genome	5510332	3	3	57.5	99.07	1.24	PacBio	SAMN02777842	clinical urine culture	Homo sapiens	coronary graft	USA: HHS Region 5	2012	PRJNA248655	Klebsiella pneumoniae strain:blaNDM-1 Genome sequencing	2014-08-14
GCF_000764615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	PMK1	Complete Genome	5990738	5	5	56.5	98.07	2.62	Illumina; Pacific Biosciences	SAMN02885365	blood	Homo sapiens	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere	Nepal	2011-08-16	PRJNA253300	Klebsiella pneumoniae Genome sequencing	2014-10-08
GCF_000775955.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XH209	Complete Genome	5118878	1	1	57.5	98.89	0.87	Illumina	SAMN02649400	blood from patient with pneumonia	Homo sapiens	Pneumonia due to Klebsiella pneumoniae	China:Hangzhou	2013-12-13	PRJNA261555	Klebsiella pneumoniae Genome sequencing	2014-11-13
GCF_000814305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	34618	Complete Genome	5649912	5	5	57	99.07	0.19	Pacbio RS	SAMN03067424	bodily fluid	Homo sapiens	pneumonia	USA	2011	PRJNA259789	KPC Klebsiella pneumoniae Genome sequencing	2015-01-05
GCF_000814305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	34618	Complete Genome	5649912	5	5	57	99.07	0.19	Pacbio RS	SAMN03067424	bodily fluid	Homo sapiens	pneumonia	USA	2011	PRJNA259789	KPC Enterobacteriacae	2015-01-05
GCF_000968155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp52.145	Complete Genome	5655684	3	3	57	97.81	0.45		SAMEA3283117						PRJEB99	Identification of genomic islands present in the genome of the virulent K2 Klebsiella pneumoniae strain CIP 52.145	2014-03-21
GCF_001022035.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1392	Complete Genome	5552491	4	4	57.5	98.81	0.39	PacBio	SAMN03024610	sputum	Homo sapiens	Pneumonia	USA:Virginia	2011-03	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2015-06-09
GCF_001022175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1344	Complete Genome	5810009	6	6	57	98.47	0.84	PacBio	SAMN03024590	urine	Homo sapiens	Urinary Tract Infection	USA:Virginia	2010-12	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2015-06-09
GCF_001022235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1596	Complete Genome	5620516	5	5	57	98.78	0.19	PacBio	SAMN03024583	Perirectal	Homo sapiens	not applicable	USA:Virginia	2012-04	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2015-06-09
GCF_001185665.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MGH83	Complete Genome	5969148	6	6	57	99.27	1.86	Illumina; Oxford Nanopore	SAMN03280386	missing	Homo sapiens	missing	missing	2014	PRJNA271899	Sequencing of Carbapenem resistant bacteria Genome sequencing	2021-05-06
GCF_001307175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP617	Complete Genome	5696051	3	3	57	98.6	1.29		SAMN04044480	Burn Patient	Homo sapiens	Bacterial Pneumonia	Korea: Seoul	2013-05-29	PRJNA295237	Klebsiella pneumoniae strain:KP617 Phenotype or Genotype	2015-10-06
GCF_001455995.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MS6671	Complete Genome	5980203	7	7	56.5	98.29	1.42	Pacific Biosciences RSII	SAMEA3257677	urine	Homo sapiens		United Arab Emirates	2014-04	PRJEB7538	Complete genome sequence of pandrug-resistant Klebsiella pneumoniae MS6671	2015-12-01
GCF_001456055.3	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpN01	Complete Genome	5680634	5	5	57	98.44	0.98	Pacific Biosciences	SAMN04168649	urine	Homo sapiens	unknown	Canada: Calgary	2013-06-24	PRJNA298912	Klebsiella pneumoniae Genome sequencing and assembly	2016-04-15
GCF_001456095.3	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpN06	Complete Genome	5650490	5	5	57	98.44	0.68	Pacific Biosciences	SAMN04168654	blood	Homo sapiens	unkown	Canada: Calgary	2013-09-19	PRJNA298912	Klebsiella pneumoniae Genome sequencing and assembly	2016-04-27
GCF_001456135.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1193	Complete Genome	5874698	6	6	57	98.49	0.84	PacBio	SAMN03733725	respiratory	Homo sapiens	missing	USA:Virginia	2010-05	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2015-12-03
GCF_001482345.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	J1	Complete Genome	5406866	3	3	57	98.26	1.2	PacBio	SAMN04357099	the activated sludge of Harbin Taiping wastewater treatment plant			China: Harbin	2014-10	PRJNA306571	Klebsiella pneumoniae strain:J1 Genome sequencing and assembly	2015-12-24
GCF_001644765.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SKGH01	Complete Genome	6088457	6	6	56.5	97.85	1.64	PacBio	SAMN04917370	Urine sample	Homo sapiens	UTI	United Arab Emirates	2015	PRJNA320133	Klebsiella pneumoniae strain:SKGH01 Genome sequencing and assembly	2016-05-16
GCF_001646625.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	W14	Complete Genome	5495481	3	3	57	98.29	0.68	Illumina Hiseq 4000	SAMN04992856	fecal sample	Homo sapiens		China: Beijing	2014-06-24	PRJNA321220	Klebsiella pneumoniae strain:W14 Genome sequencing	2016-05-18
